紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
回生甘露丸,回生甘露丸，滋阴养肺，制菌排脓。用于肺脓肿，肺结核，体虚气喘,新旧肺病等
利巴韦林分散片,利巴韦林分散片（Ribavirin Dispersible Tablets），商品名国瑞、奥佳、南元。适用于呼吸道合胞病毒引起的病毒性肺炎与支气管炎、皮肤疱疹病毒感染。
对氨基水杨酸异烟肼片,对氨基水杨酸异烟肼片（Isoniazid　Aminosalicylate　Tablets），商品名核清。与其他抗结核药联合，用于治疗各型肺结核、支气管内膜结核及肺外结核。并可作为与结核病相关手术的保护药，也可用于预防长期或大剂量皮质激素、免疫抑制治疗的结核感染及复发。
除疤膏,除疤膏，软坚散结，活血消疤。用于因烧伤、烫伤、疮痈、创伤等所致的增生性疤痕的辅助治疗
鞣酸蛋白片,鞣酸蛋白片（Tabellae Albumini Tannatis），用于消化不良性腹泻。
吡拉西坦胶囊,吡拉西坦胶囊（Piracetam Capsules），用于改善中老年单纯性记忆减退。
肤痔清软膏,肤痔清软膏，清热解毒，化瘀消肿，除湿止痒，用于湿热蕴结所致手足癣、体癣、腹癣、浸淫疮、内痔、外痔，肿痛出血，带下病。
兰索拉唑片,兰索拉唑片（Lansoprazole Tablets），商品名兰悉多片、健利思。胃溃疡、十二指肠溃疡、反流性食管炎、佐-艾（Zollinger-Ellison）综合征（胃泌素瘤）。
胰酶肠溶胶囊,胰酶肠溶胶囊（Pancreatin Enteric-coated Capsules），商品名得每通。助消化药。用于消化不良、胰腺疾病引起的消化障碍和各种原因引起的胰腺外分泌功能不足的替代治疗。
注射用盐酸二甲弗林,注射用盐酸二甲弗林（Dimefline Hydrochloride for Injection），商品名菲而。常用于麻醉，催眠药物所引起的呼吸抑制及各种疾病引起的中枢性呼吸衰竭,以及手术，外伤等引起的虚脱和休克。
氯化钾缓释片,氯化钾缓释片（PotassiumChlorideSustained-releaseTablets），商品名补达秀、乐甲。1、治疗低钾血症各种原因引起的低钾血症，如进食不足、呕吐、严重腹泻、应用排钾利尿药、低钾性家族周期性麻痹、长期应用糖皮质激素和补充高渗葡萄糖等。2、预防低钾血症当患者存在失钾情况，尤其是如果发生低钾血症对患者危害较大时(如洋地黄化的患者），需预防性补充钾盐，如进食很少、严重或慢性腹泻、长期服用肾上腺皮质激素、失钾性肾病、以及Bartter’s综合征等。3、洋地黄中毒引起频发、多源性早搏或快速性心律失常。
长春胺缓释胶囊,长春胺缓释胶囊（Brovincamine），商品名奥勃兰。本品疗效显著，适用范围广，可用于治疗脑动脉硬化、脑梗死后遗症、脑出血后遗症等，能改善一些后遗症症状。
伤湿解痛膏,伤湿解痛膏，祛风除湿,化瘀止痛.用于风寒温邪所致之筋骨痛,肩酸腰痛, 关节痛,跌打损伤等.
无敌药酒,无敌药酒
曲安西龙片,曲安西龙片（Triamcinolone Tablets），商品名阿赛松。应用其较强的免疫抑制作用，治疗各种变态反应性炎症、各种自身免疫性疾病。由于它的主要药理作用和醋酸泼尼松（强的松）相同，因此其适应症和强的松的基本相同，主要包括：①系统性红斑狼疮等结缔组织病；②肾病综合征等免疫性肾脏疾病；③特发性血小板减少性紫癜等免疫性病；④醋酸泼尼松所适用的其它疾病。
盐酸苯海拉明片,盐酸苯海拉明片（Diphenhydramine Hydrochloride Tablets），是主要成分苯海拉明的片剂制剂，商品名有：君服安。主要用于过敏性疾病及晕动病的预防和治疗。不良反应主要为嗜睡、口干，停药后可消失。本品价格低廉，对过敏性鼻炎患者而言不失为一个好药，缺点为嗜睡作用明显。部分患者可采取睡前服用的办法控制过敏性鼻炎，收效好。
灯盏花素片,灯盏花素片，活血化淤,通络止痛.用于中风后遗症,冠心病,心绞痛.
泽桂癃爽胶囊,泽桂癃爽胶囊，行瘀散结，化气利水。用于膀胱瘀阴型前列腺增生症。
小儿消积止咳口服液,小儿消积止咳口服液，用于小儿食积咳嗽，属痰热证，症见：咳嗽，以夜重，喉间痰鸣，腹胀，口臭等。
环磷酰胺片,环磷酰胺片（Cyclophosphamide Tablets），本品为目前广泛应用的抗癌药物，对恶性淋巴瘤、急性或慢性淋巴细胞白血病、多发性骨髓瘤有较好的疗效，对乳腺癌、睾丸肿瘤、卵巢癌、肺癌、头颈部鳞癌、鼻咽癌、神经母细胞瘤、横纹肌肉瘤及骨肉瘤均有一定的疗效。
茶碱缓释胶囊,茶碱缓释胶囊（Theophylline Sustained-release Capsule），商品名埃斯玛隆、迪帕米。（1）用于缓解或预防各年龄组成人和3岁以上儿童的支气管哮喘的发作。本品用于哮喘急性发作后的维持治疗能有效地防止再次发作。与b2受体激动剂或糖皮质激素合用其疗效比单用任何一种药物更佳，且不良反应降低，耐受性更好。（2）也适用于慢性支气管炎和肺气肿伴有的支气管痉挛的症状。
银杏叶提取物滴剂,银杏叶提取物滴剂（Extract　of　Ginkgo　Biloba　Leaves　Drops），商品名金纳多。主要用于脑部，周边血液循环障碍。 1、急慢性脑机能不全及其后遗症：中风，注意力不集中、记忆力衰退、痴呆 2、耳部血流及神经障碍：耳鸣、眩晕、听力减退、耳迷路综合征 3、眼部血流及神经障碍；糖尿病引起的视网膜病变及神经障碍、老年黄斑变性、视力模糊、慢性青光眼。 4、末梢循环障碍：各种动脉闭塞症，间歇性跛行症、手脚麻痹冰冷、四肢酸痛。
妇洁舒洗液,妇洁舒洗液，清热燥湿，杀虫止痒，用于湿热下注，带下黄稠，阴肿阴痒；外阴炎。非特异性滴虫性，淋菌性及霉菌性阴道炎见述证侯者。
人参鹿茸丸,人参鹿茸丸，用于肾精不足，气血两亏，目暗耳聋，腰腿酸软。
甲睾酮片,甲睾酮片（Methyltestosterone Tablets），（1）原发性或继发性男性性功能低减。（2）绝经期后女性晚期乳腺癌的姑息性治疗。
奥美拉唑肠溶胶囊,奥美拉唑肠溶胶囊（Omeprazole Enteric-coated Capsules），商品名洛赛克、金奥康、奥克、立卫克、彼司克、卫舒康宁。
仙鹿口服液,仙鹿口服液，滋阴补肾，填精益髓，用于肾阴亏损所致的精于数目少，精子活动力下降之男性不育症。
四圣散,【组成】茴香（炒）、川山甲（炒）、全蝎（炒）、南木香各等分。
盐酸金刚烷胺片,盐酸金刚烷胺片（Amantadine Hydrochloride Tablets），用于帕金森病、帕金森综合征、药物诱发的锥体外系疾患，一氧化碳中毒后帕金森综合征及老年人合并有脑动脉硬化的帕金森综合征。也用于防治A型流感病毒所引起的呼吸道感染。
硝酸异山梨酯片,硝酸异山梨酯片（Isosorbide Dinitrate Tablets），冠心病的长期治疗；心绞痛的预防；心肌梗死后持续心绞痛的治疗；与洋地黄和/或利尿剂联合应用，治疗慢性充血性心力衰竭；肺动脉高压的治疗。
盐酸金刚烷胺糖浆,分类：已有国家标准药品-化学药品
一清颗粒,一清颗粒，清热泻火解毒，用于火毒血热所致的身热烦躁，目赤口疮，咽喉牙龈肿痛，大便秘结及咽炎、扁桃体炎、牙龈炎。
六神丸,六神丸，清凉解毒，消炎止痛。用于烂喉丹痧，咽喉肿痛，喉风喉痈，单双乳蛾，小儿热疖，痈疡疔疮，乳痈发背，无名肿毒。
甲磺酸培氟沙星片,通用名： 甲磺酸培氟沙星片
丙戊酸钠片,丙戊酸钠片（Sodium Valproate Tablets），商品名德巴金(丙戊酸钠)。主要用于单纯或复杂失神发作、肌阵挛发作，大发作的单药或合并用药治疗，有时对复杂部分性发作也有一定疗效。
复方莪术油栓,复方莪术油栓（Compound Zedoary Turmeric Oil Suppoaitories），商品名蓝伊士、康妇特、丽净康。本品用于治疗白色念珠菌阴道感染，霉菌性阴道炎、滴虫性阴道炎、宫颈糜烂。
硫酸锌糖浆,硫酸锌糖浆（Zinc Sulfate Syrup），用于治疗因缺锌引起的生长发育迟缓，营养不良、厌食症、以及复发性口腔溃疡和痤疮等。
金栀洁龈含漱液,金栀洁龈含漱液，清热解毒，消肿止痛。适用于缓解牙龈、牙周及粘膜炎症所致的肿痛。
甲苯磺酸妥舒沙星片,甲苯磺酸妥舒沙星片（Tosufloxacin Tosylate Tablets），敏感细菌所致的呼吸道感染，如肺炎、急慢性支气管炎、支气管扩张合并感染、咽喉炎、扁桃体炎、副鼻窦炎。泌尿系统感染，如肾盂肾炎、膀胱炎、前列腺炎、附睾炎、淋菌性及非淋菌性尿道炎。肠道、胆道或皮肤软组织感染。淋病。
雪梨膏,【药品名称】雪梨膏
血栓心脉宁胶囊,血栓心脉宁胶囊，开窍醒神，活血化瘀。适用于脑血栓、冠状动脉粥样硬化性心脏病、心绞痛等症。
参莲胶囊,参莲胶囊，清热解毒，活血化瘀，软坚散结。用于由气血瘀滞、热毒内阻而致的中晚期肺癌、胃癌患者。
烯丙雌醇片,烯丙雌醇片（Allylestrenol Tablets），商品名多力玛。先兆流产，习惯性流产，先兆早产
保和颗粒,保和颗粒，消食，导滞，和胃。用于食积停滞，脘腹胀满，嗳腐吞酸，不欲饮食。
白及颗粒,白及颗粒，收敛、止血、补肺。用于肺结核，慢性气管炎，百日咳，肺气肿，久咳伤肺，咯血吐血。
氢溴酸东莨菪碱注射液,氢溴酸东莨菪碱注射液（Scopolamine Hydrobromide Injection），用于麻醉前给药，震颤麻痹，晕动病，躁狂性精神病，胃肠胆肾平滑肌痉挛，胃酸分泌过多，感染性休克，有机磷农药中毒。
桂利嗪片,桂利嗪片（Cinnarizine Tablets），商品名信可纳龙、脑溢嗪片、肉桂苯哌嗪。用于脑血栓形成、脑栓塞、脑动脉硬化、脑出血恢复期、蛛网膜下腔出血恢复期、脑外伤后遗症、内耳眩晕症、冠状动脉硬化及由于末梢循环不良引起的疾病等治疗。近年来有关文献报道，本品可用于慢性荨麻疹，老年性皮肤瘙痒等过敏性皮肤病。
前列倍喜胶囊,拼音名:Qianlie Beixi Jiaonang
参芪健胃颗粒,药品规格：16g*8袋/1
奥替溴铵片,奥替溴铵片（Otilonium Bromide Tablets），商品名斯巴敏。金色葡萄球菌、大肠杆菌、肺炎杆菌、变形杆菌（吲哚阳性及阴性）类杆菌属、消化球菌及消化链球菌属中，对本品敏感菌引起的下述感染症：败血症；支气管炎、支气管扩张症感染时、肺炎、慢性呼吸道疾患继发感染、肺化脓症（肺脓肿）、脓胸；胆管炎、胆囊炎；腹膜炎；肾盂肾炎、膀胱炎；前庭大腺炎、子宫内感染、子宫附件炎、子宫旁组织炎；颌骨周围蜂窝织炎、颌炎。
前列通片,前列通片，清热解毒，清利湿浊，理气活血，消炎止痛，祛瘀通淋。用于急性前列腺炎、前列腺增生。
烧伤肤康液,烧伤肤康液，清热解毒，收敛止痛，保护创面。用于轻度水、火烫伤及热疖、痱子、湿疹。
羟基脲片,羟基脲片（Hydroxycarbamide Tablets），1、慢性粒细胞白血病（CML）有效，并可用于对马利兰耐药的CML；2、对黑色素瘤、肾癌、头颈部癌有一定疗效，与放疗联合对头颈部及宫颈鳞癌有效。
板蓝根茶,板蓝根茶，清热解毒，凉血利咽。用于肺胃热盛所致的咽喉肿痛、口咽干燥；急性扁桃体炎见上述证候者。
重组人干扰素α2a注射液,重组人干扰素α2a注射液（Recombinant Human Inferonα2a for Injection），商品名因特芬、罗荛愫（原名：罗扰素）。1.病毒性疾病：伴有HBV-DNA 、DNA多聚酶阳性或HBeAg阳性等病毒复制标志的成年慢性活动性乙型肝炎病人、伴有HCV抗体阳性和谷丙转氨酶（ALT）增高，但不伴有肝功能代偿失调（Child分类A）的成年急慢性丙型肝炎病人、尖锐湿疣、带状疱疹、小儿病毒性肺炎及上呼吸道感染、慢性宫颈炎、丁型肝炎等。2.肿瘤：毛状细胞白血病、多发性骨髓瘤、非何杰金氏淋巴瘤、慢性白血病以及卡波济氏肉瘤、肾癌、喉乳头状瘤、黑色素瘤、蕈样肉芽肿、膀胱癌、基底细胞癌等。
对乙酰氨基酚栓,对乙酰氨基酚栓（Paracetamol Suppositories），商品名小儿退热栓。用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。
注射用达卡巴嗪,注射用达卡巴嗪（Dacarbazie for Injection），主要用于霍奇金病、黑色素瘤和软组织肉瘤，对肺鳞状细胞癌及未分化癌，平滑肌肉瘤纤维肉瘤等也有一定疗效。
复方电解质葡萄糖R2A注射液,通用名： 复方电解质葡萄糖R2A注射液
复方卡力孜然酊,维阿露- 复方卡力孜然酊
维生素B6注射液,【药品名称】
换骨丸,【处方】 苦参1两半，浮萍1两半，大黄1两2钱，槐花1两2钱，白芷1两2钱，川芎1两2钱，苍术1两，乳香3钱，没药3钱，沉香3钱，木香3钱，麝香5分。
氢溴酸加兰他敏片,氢溴酸加兰他敏片（Galanthamine Hydrobromide Tablets），商品名慧敏。本品适用于良性记忆障碍，提高患者指向记忆、联想学习、图像回忆、无意义图形再认及人像回忆等能力。对痴呆患者和脑器质性病变引起的记忆障碍亦有改善作用。
硝苯地平片,硝苯地平片（Nifedipine Tablets），商品名心痛定、久保卡迪、心痛定片。各种类型的高血压及心绞痛。
复方牛胎肝提取物片,【药品名称】
六神胶囊,六神胶囊，清热解毒，消炎止痛。主要用于烂喉丹痧、咽喉肿痛、喉风喉痈、单双乳蛾、小儿热疖、痈疡疔疮乳痈发背、无名肿毒等。
盐酸米诺环素胶囊,盐酸米诺环素胶囊（Minocycline Hydrochloride Capsules），商品名美满霉素、康尼、美克威。本品适用于因葡萄球菌、链球菌、肺炎球菌、淋病奈瑟菌、痢疾杆菌、大肠埃希菌、克雷伯氏菌、变形杆菌、绿脓杆菌、梅毒螺旋体及衣原体等对本品敏感的病原体引起的下列感染：1．败血症、菌血症。2．浅表性化脓性感染：毛囊炎、脓皮症、扁桃体炎、肩周炎、泪囊炎、牙龈炎、外阴炎、创伤感染、手术后感染等。3．深部化脓性疾病：乳腺炎、淋巴管（结）炎、颌下腺炎、骨髓炎、骨炎。4．急慢性支气管炎、喘息型支气管炎、支气管扩张、支气管肺炎、细菌性肺炎、异型肺炎、肺部化脓症。5．痢疾、肠炎、感染性食物中毒、胆管炎、胆囊炎。6．腹膜炎。7．肾盂肾炎、肾盂炎、肾盂膀胱炎、尿道炎、膀胱炎、前列腺炎、附睾炎、宫内感染、淋病。8．中耳炎、副鼻窦炎、颌下腺炎。9．梅毒。
骨友灵搽剂,骨友灵搽剂，活血化瘀，消肿止痛。用于软组织损伤引起的肿胀，疼痛。
小儿敷脐止泻散,小儿敷脐止泻散，中散寒，止泻。主治小儿中寒、腹泻、腹痛。
托西酸舒他西林胶囊,托西酸舒他西林胶囊（Sultamicillin Tosilate Capsules），商品名福希啉。本品适用于治疗敏感细菌引起的下列感染： 1、上呼吸道感染：鼻窦炎、中耳炎、扁桃体炎等。2、下呼吸道感染：支气管炎、肺炎等3、泌尿道感染及肾盂肾炎；4、皮肤、软组织感染；5、淋病
保儿安颗粒,保儿安颗粒，健脾消滞，利湿止泻，清热除烦，驱虫治积。用于食滞及虫积所致的厌食消瘦，胸腹胀闷，泄泻腹痛，夜睡不宁，磨牙咬指等。
氟伐他汀钠胶囊,氟伐他汀钠胶囊（Fluvastatin），商品名来适可。饮食不能完全控制的高脂血症。
十味龙胆花颗粒,十味龙胆花颗粒，清热化痰，止咳平喘。用于痰热壅肺所致的咳嗽、喘鸣、痰黄，或兼发热、流涕、咽痛、口渴、尿黄、便干。
三磷酸腺苷二钠片,三磷酸腺苷二钠片（Adenosine　Disodium　Triphosphate　Tablets），用于进行性肌萎缩、脑出血后遗症、心功能不全、心肌疾患及肝炎等的辅助治疗
复方消旋山莨菪碱滴眼液,复方消旋山莨菪碱滴眼液（Compound Raceanisodamine Eye Drops），青少年假性近视。
参苓健脾胃颗粒,【药品名称】
双氯芬酸钠缓释胶囊,双氯芬酸钠缓释胶囊（Diclofenac　Sodium　Sustained-Release　Capsules），商品名英太青、澳芬、迪弗纳。用于：
磷霉素钙胶囊,磷霉素钙胶囊（Fosfomycin　Calcium　Capsules），商品名利扬新。用于敏感菌所致的单纯性下尿路感染和肠道感染（包括细菌性痢疾）等。也可与其他抗菌药联合应用治疗由敏感菌所致的重症感染，如败血证、腹膜炎、骨髓炎等。
丹参川芎嗪注射液,【成 份】
散结镇痛胶囊,散结镇痛胶囊，软坚散结，化瘀定痛。用于子宫内膜异位症（痰瘀互结兼气滞证）所致的继发性痛经、月经不调、盆腔包块、不孕等。
依托红霉素颗粒,依托红霉素颗粒（Erythromycin Estolate Granules），1．本品作为青霉素过敏患者治疗下列感染的替代用药：溶血性链球菌、肺炎链球菌等所致的急性扁桃体炎、急性咽炎、鼻窦炎；溶血性链球菌所致的猩红热、蜂窝织炎；白喉及白喉带菌者；气性坏疽、炭疽、破伤风；放线菌病；梅毒；李斯特菌病等。 2．军团菌病。 3．肺炎支原体肺炎。 4．肺炎衣原体肺炎。 5．其他衣原体属、支原体属所致泌尿生殖系感染。 6．沙眼衣原体结膜炎。 7．厌氧菌所致口腔感染。 8．空肠弯曲菌肠炎。 9．百日咳。 10．风湿热复发、感染性心内膜炎（风湿性心脏病、先天性心脏病、心脏瓣膜置换术后）、口腔、上呼吸道医疗操作时的预防用药（青霉素的替代用药）。
消癌平口服液,药品名称：消癌平口服液
注射用帕米膦酸二钠,注射用帕米膦酸二钠（Pamidronate Disodium Injection），商品名阿可达、博宁。恶性肿瘤并发的高钙血症和溶骨性癌转移引起的骨痛。
糖尿乐胶囊,糖尿乐胶囊，滋阴补肾，益气润肺，和胃生津、调节代谢机能。用于消渴症引起的多食、多饮、多尿，四肢无力等症，降低血糖、尿糖。
头孢克洛分散片,头孢克洛分散片（Cefaclor Dispersible Tablets），商品名恒迪克、恒运、万敏新、Cefaclor Dispersible Tablets。主要适用于敏感菌所致的呼吸道感染如肺炎、支气管炎、咽喉炎、扁桃体炎等；中耳炎；鼻窦炎；尿路感染如淋病、肾盂肾炎、膀胱炎；皮肤与皮肤组织感染等；胆道感染等。本品治疗A组溶血性链球菌咽炎和扁桃体炎的疗效与青霉素Ⅴ相似。
氧氟沙星栓,氧氟沙星栓，细菌性阴道炎。
丝白祛斑软膏,丝白祛斑软膏，活血化瘀，祛风消斑。适用于气血瘀滞，肌肤失养所致的黄褐斑。;
溃疡胶囊,溃疡胶囊，制酸止痛，生肌收敛，用于胃脘疼痛，呕恶泛酸，胃及十二脂肠溃疡。
虎驹乙肝胶囊,虎驹乙肝胶囊，1.疏肝健脾、清热利湿、活血化淤。用于慢性乙型肝炎肝郁脾虚兼湿热淤滞证。症见：胁肋胀满疼痛，脘痞腹胀，胃纳不佳，小便色黄等；2.急慢性乙、丙型肝炎；3.早期肝硬化。
狗皮膏,狗皮膏，祛风散寒，活血止痛。用于风寒湿邪、气滞血瘀引起的四肢麻木，腰腿疼痛，筋脉拘挛，跌打损伤，闪腰岔气，脘腹冷痛，行经腹痛，湿寒带下，积聚痞块。
妇科止痒胶囊,【药品名称】妇科止痒胶囊
西咪替丁片,西咪替丁片（Cimetidine Tablets），商品名泰胃美、甲氰咪呱片。组胺H2受体阻滞药。用于缓解胃酸过多引起的胃痛、胃灼热感(烧心)、反酸；用于治疗十二指肠溃疡、胃溃疡、上消化道出血及卓-艾(Zollinger-Ellison)综合征。
盐酸普拉克索片,盐酸普拉克索片（Pramipexole Dihydrochloride Tablets），商品名森福罗。本品被用来治疗特发性帕金森病的体征和症状，单独（无左旋多巴）或与左旋多巴联用。例如，在疾病后期左旋多巴的疗效逐渐减弱或者出现变化和波动时（剂末现象或“开关”波动），需要应用本品。
复方环磷酰胺片,复方环磷酰胺片（Compound Cyclophosphamide Tablets），抗肿瘤药。主用于恶性淋巴瘤、急性淋巴细胞白血病、肺癌、各种肉瘤、实体瘤及卵巢癌。
天麻素片,天麻素片（Gastrodin Talolets），用于神衰、神衰综合征及血管神经性头痛等症(如偏头痛、三叉神经痛、枕骨大神经痛等)。
黄根片,品名：黄根片
乳癖消胶囊,乳癖消胶囊，软坚散结，活血消痈，清热解毒。用于乳癖结块，乳痈初起；乳腺囊性增生病及乳腺炎前期。
羧甲淀粉钠溶液,羧甲淀粉钠溶液（Carboxymethylstarch Sodium Solution），免疫调节药。临床用于小儿反复呼吸道感染和由此诱发的支气管哮喘。
复方青黛胶囊,复方青黛胶囊，清热解毒，化瘀消斑，祛风止痒。用于血热挟瘀、热毒炽盛证；进行期银屑病、玫瑰糠疹、药疹见上述证候者。
降糖宁胶囊,降糖宁胶囊，益气，养阴，生津。用于糖尿病属气阴两虚者。
参皇乳膏,参皇乳膏（Ginseny and Royal Jelly Cream），用于手足皲裂、脂溢性皮炎、寻常痤疮和毛囊角化症。
小活络丸,小活络丸，祛风散寒，化痰除湿，活血止痛。用于风寒湿邪闭阻、痰瘀阻络所致的痹病，症见肢体关节疼痛，或冷痛，或刺痛，或疼痛夜甚、关节屈伸不利、麻木拘挛。
肾炎四味片,肾炎四味片，活血化瘀，清热解毒，补肾益气。用于慢性肾炎。对临床症状浮肿、高血压、蛋白尿、尿红细胞及管型均有不同程度的改善，对慢性肾功能不全和降低非蛋白氮、酚红排泄率有较明显的改善。
当归调经颗粒,当归调经颗粒，养血补血助气，调经。用于贫血衰弱，病后、产后血虚以及月经不调，痛经。
鱼肝油酸钠注射液,鱼肝油酸钠注射液（Sodium Morrhuate Injeetion），本品局部注射后，刺激血管内膜，促进其增生，逐渐闭塞血管，使之硬化，作为血管硬化剂，用于血管瘤、静脉曲张、内痔、颞合关节病（脱位或半脱位者），也用于妇科、外科等创面渗血和出血。
雌二醇凝胶,通用名称：雌二醇凝胶
金匮肾气丸,金匮肾气丸，温补肾阳，化气行水。用于肾虚水肿，腰膝酸软，小便不利，畏寒肢冷。
参芪五味子糖浆,参芪五味子糖浆，益气安神。用于疲劳过度，神经衰弱，健忘，失眠。
五维牛磺酸口服溶液,五维牛磺酸口服溶液（Wuwei Niuhuangsuan Koufurongye），用于缺乏维生素B族所致的营养不良、厌食、脚气病、糙皮病的辅助治疗；用于生长发育期营养补充；病中愈后，产前产后及哺乳期的营养补给，发热性消耗疾患之辅助治疗。
青蒿琥酯片,青蒿琥酯片（Artesunate Tablets），抗疟药。适用于脑型疟疾及各种危重疟疾的抢救。
乳酸钙口服溶液,【化学名】α-羟基丙酸钙五水合物
驱白巴布期片,【药品名称】
盐酸乐卡地平片,盐酸乐卡地平片（Lercanidipine　Hydrochloride　Tablets），商品名再宁平。在欧洲本品用于各型高血压；在英国只用于轻中度高血压。
滋肾育胎丸,滋肾育胎丸，补肾健脾，益气培元，养血安胎，强壮身体。用于脾肾两虚，冲任不固所致的滑胎(防治习惯性流产和先兆性流产)。
马应龙八宝眼膏,马应龙八宝眼膏，退赤，去翳。用于眼睛红肿痛痒，流泪，沙眼，眼睑红烂。
阿胶牡蛎口服液,【标准来源】
安神补心丸,安神补心丸，用于心血不足、虚火内扰所致的心悸失眠、头晕耳鸣、养心安神。
芪枣健胃茶,芪枣健胃茶，
藿香正气片,藿香正气片，解表化湿，理气和中。用于暑湿感冒，头痛身重胸闷，或恶寒发热，脘腹胀痛，呕吐泄泻。
复方岗松止痒洗液,复方岗松止痒洗液，清热燥湿，杀虫止痒。用于湿热下注所致的带下，阴痒的辅助治疗。
乌蛇止痒丸,乌蛇止痒丸，养血祛风，燥湿止痒。用于皮肤瘙痒，荨麻疹。
四妙丸,性状：水丸。
克痢痧胶囊,克痢痧胶囊，解毒辟秽，理气止泻。用于泄泻和痧气（中暑）。
脑血康丸,[商标/商品名]：脑血康丸
盐酸普罗帕酮片,盐酸普罗帕酮片（Propafenone　Hydrochloride　Tablets），商品名悦复隆。用于阵发性室性心动过速及室上性心动过速（包括伴预激综合征者）。
肿痛安胶囊,肿痛安胶囊，祛风化痰，行瘀散结，消肿定痛。用于风痰瘀阻引起的牙痛、咽喉肿痛、口腔溃疡，及风痰瘀血阻络引起的痹病，症见关节肿胀疼痛、筋脉拘挛、屈伸不利;用于破伤风的辅助治疗。
秘诀清凉散,秘诀清凉散，清热解毒，凉血热，化痰湿。用于瘟热窜入脉道,肝脾坏血增盛,中毒症，“木布”症、热势亢盛的合并症，热性培根病，热病后期的余邪。
硫软膏,硫软膏（Sulfur Ointment），用于疥疮,头癣,痤疮,脂溢性皮炎,酒渣鼻,单纯糠疹,慢性湿疹.
抗妇炎胶囊,抗妇炎胶囊，活血化瘀，消炎止痛，清热燥湿，止带止血，杀虫。用于附件炎、盆腔炎、子宫内膜炎、阴道炎、慢性宫颈炎引起的湿热下注，赤白带下，宫颈糜烂，阴肿阴痒，出血痛经尿路感染。
注射用重组人生长激素,注射用重组人生长激素（Recombinant Human Somatropin for Injection），商品名海之元、思真、安苏萌、珍怡、赛高路、赛增。用于内源性生长激素缺乏、慢性肾衰及特纳氏综合症所致儿童生长缓慢和重度烧伤的治疗。
苦参碱氯化钠注射液,分类：化学药品
妥布霉素地塞米松滴眼液,妥布霉素/地塞米松滴眼液（Tobramycin and Dexamethasone Eye Drops），商品名典必殊。1.对肾上腺皮质激素有反应的眼科炎性病变及眼部表面的细菌感染或有感染的危险的情况;
富马酸喹硫平片,富马酸喹硫平片（Quetiapine　Fumarate），商品名启维。精神分裂症。
儿泻康贴膜,儿泻康贴膜，温中散寒止泻。适用于小儿非感染性腹泻，中医辩证属风寒泄泻者。症见泄泻、腹痛、肠鸣。
复方黄连素片,复方黄连素片，清热燥湿，行气止痛，止痢止泻。用于大肠湿热，赤白下痢，里急后重或暴注下泻，肛门灼热；肠炎、痢疾见上述证候者
复方片仔癀含片,复方片仔癀含片，清热解毒，利咽止痛，生津润喉。用于风热上攻，肺胃热盛所致急、慢性咽喉炎。
妇乐颗粒,妇乐颗粒，清热凉血，活血化瘀，消肿止痛。用于急性盆腔炎、急性附件炎、急性子宫内膜炎等引起的带下、腹痛。
颐和春胶囊,颐和春胶囊，补肾壮阳，健脑强心。用于肾阳虚引起的阳痿、遗精、精冷不孕，腰膝酸软等症。
香菇多糖片,香菇多糖片
保胎灵,保胎灵，补肾，固冲，安胎。用于先兆流产，习惯性流产及因流产引起的不孕症。
抗癌平丸,抗癌平丸，清热解毒，散瘀止痛。用于热毒瘀血壅滞而致的胃癌、食道癌、贲门癌、直肠癌等消化系统肿瘤。
妇科调经颗粒,妇科调经颗粒，商品名月尔乐。养血，调经，止痛。用于月经量少、后错，经期腹痛.
消炎利胆软胶囊,消炎利胆软胶囊，清热，祛湿，利胆。用于肝胆湿热引起的口苦，胁痛和急性胆囊炎，胆管炎。
法莫替丁钙镁咀嚼片,法莫替丁钙镁咀嚼片（Famotidine,Calcium Carbonate and Magnesium Hydroxide Chewable Tablets），适用于缓解成人及12岁以上儿童由于胃酸过多引起的胃灼热（烧心）、反酸、胃疼、胃部不适等症状。
四磨汤口服液,四磨汤口服液，顺气降逆 消积止痛.1、腹部手术后及产后促进胃肠蠕动功能恢复。2、小儿乳食内滞、腹胀、腹痛、啼哭不安、厌食纳差、大便秘结。3、中老年气滞、食积证，症见脘腹胀满、腹痛、便秘。
夏天无胶囊,夏天无胶囊，活血通络，行气止痛。用天淤血阻络气行不畅所致的中风，症见半身不遂，偏身麻木，或跌打损伤，气血瘀阻所致的肢体痛疼，肿胀麻木：风湿性关节炎、坐骨神经痛见上述症候者。
金花明目丸,拼音名：Jinhua Mingmu Wan
复方氟尿嘧啶口服溶液,复方氟尿嘧啶口服溶液（Compound Fluorouracil Cream），用于消化道癌症（结肠癌、直肠癌、胃癌）、乳腺癌、原发性肝癌等癌症的治疗。
